Municipio del hecho DANE,Departamento del hecho DANE,total_casos,ratio_masculino,años_activos,cluster
floridablanca,santander,296,0.0,10,0
fonseca,la guajira,108,0.0,10,0
fortul,arauca,170,0.0,10,0
francisco pizarro,nariño,29,0.0,9,0
fredonia,antioquia,85,0.0,10,0
fresno,tolima,94,0.0,10,0
frontino,antioquia,65,0.0,10,0
fuente de oro,meta,32,0.0,9,0
fundación,magdalena,198,0.0,10,0
funza,cundinamarca,78,0.0,10,0
fusagasugá,cundinamarca,161,0.0,10,0
fómeque,cundinamarca,6,0.0,6,1
gachancipá,cundinamarca,11,0.0,7,1
galapa,atlántico,90,0.0,10,0
galeras,sucre,27,0.0,9,0
gamarra,cesar,26,0.0,9,0
garagoa,boyacá,6,0.0,5,1
garzón,huila,125,0.0,10,0
gigante,huila,48,0.0,9,0
ginebra,valle del cauca,34,0.0,9,0
giraldo,antioquia,29,0.0,10,0
girardot,cundinamarca,446,0.0,10,0
girardota,antioquia,117,0.0,10,0
girón,santander,229,0.0,10,0
gonzález,cesar,32,0.0,9,0
gramalote,norte de santander,5,0.0,4,1
granada,antioquia,18,0.0,6,1
granada,cundinamarca,6,0.0,4,1
granada,meta,215,0.0,10,0
guaca,santander,12,0.0,6,1
guacarí,valle del cauca,218,0.0,10,0
guachene,cauca,6,0.0,1,1
guachené,cauca,170,0.0,9,0
guachetá,cundinamarca,19,0.0,9,0
guadalajara de buga,valle del cauca,773,0.0,10,0
guadalupe,antioquia,14,0.0,6,1
guadalupe,huila,39,0.0,10,0
guaduas,cundinamarca,55,0.0,10,0
guamal,magdalena,31,0.0,9,0
guamal,meta,32,0.0,9,0
guamo,tolima,82,0.0,10,0
guapi,cauca,27,0.0,1,1
guapí,cauca,45,0.0,9,0
guaranda,sucre,24,0.0,8,0
guarne,antioquia,115,0.0,10,0
guasca,cundinamarca,6,0.0,5,1
guatapé,antioquia,17,0.0,7,1
guatavita,cundinamarca,6,0.0,4,1
guayabetal,cundinamarca,5,0.0,3,1
gutiérrez,cundinamarca,5,0.0,4,1
guática,risaralda,15,0.0,6,1
gámbita,santander,6,0.0,5,1
génova,quindio,5,0.0,1,1
génova,quindío,32,0.0,8,0
gómez plata,antioquia,39,0.0,9,0
güepsa,santander,5,0.0,4,1
güican,boyacá,12,0.0,1,1
güicán,boyacá,6,0.0,4,1
hacarí,norte de santander,42,0.0,9,0
hatillo de loba,bolívar,12,0.0,7,1
hato corozal,casanare,27,0.0,9,0
hatonuevo,la guajira,19,0.0,8,0
heliconia,antioquia,28,0.0,9,0
herrán,norte de santander,7,0.0,4,1
herveo,tolima,15,0.0,8,0
hispania,antioquia,37,0.0,10,0
hobo,huila,27,0.0,6,1
honda,tolima,90,0.0,10,0
ibagué,tolima,860,0.0,10,0
icononzo,tolima,9,0.0,6,1
iles,nariño,6,0.0,4,1
inzá,cauca,37,0.0,10,0
inírida,guainía,23,0.0,9,0
ipiales,nariño,370,0.0,10,0
isnos,huila,101,0.0,10,0
istmina,chocó,80,0.0,10,0
itagui,antioquia,36,0.0,1,1
itagüí,antioquia,295,0.0,9,0
ituango,antioquia,310,0.0,10,0
jambaló,cauca,18,0.0,8,0
jamundí,valle del cauca,901,0.0,10,0
jardín,antioquia,92,0.0,10,0
jericó,antioquia,30,0.0,10,0
juan de acosta,atlántico,32,0.0,10,0
juradó,chocó,11,0.0,5,1
la apartada,córdoba,50,0.0,10,0
la argentina,huila,13,0.0,7,1
la calera,cundinamarca,23,0.0,9,0
la ceja,antioquia,89,0.0,10,0
la celia,risaralda,41,0.0,10,0
la cruz,nariño,8,0.0,3,1
la cumbre,valle del cauca,21,0.0,9,0
la dorada,caldas,188,0.0,10,0
la esperanza,norte de santander,21,0.0,8,0
la estrella,antioquia,124,0.0,10,0
la florida,nariño,6,0.0,4,1
la gloria,cesar,53,0.0,10,0
la jagua de ibirico,cesar,73,0.0,10,0
la jagua del pilar,la guajira,6,0.0,4,1
la llanada,nariño,5,0.0,3,1
la macarena,meta,149,0.0,10,0
la merced,caldas,5,0.0,4,1
la mesa,cundinamarca,49,0.0,10,0
la montañita,caquetá,84,0.0,9,0
la palma,cundinamarca,7,0.0,5,1
la paz,cesar,55,0.0,10,0
la paz,santander,8,0.0,7,1
la peña,cundinamarca,5,0.0,3,1
la pintada,antioquia,49,0.0,9,0
la plata,huila,149,0.0,10,0
la playa,norte de santander,45,0.0,10,0
la primavera,vichada,14,0.0,6,1
la sierra,cauca,37,0.0,10,0
la tebaida,quindio,24,0.0,1,1
la tebaida,quindío,143,0.0,9,0
la tola,nariño,5,0.0,4,1
la unión,antioquia,41,0.0,9,0
la unión,nariño,47,0.0,9,0
la unión,sucre,10,0.0,4,1
la unión,valle del cauca,324,0.0,10,0
la uribe,meta,10,0.0,1,1
la vega,cauca,37,0.0,8,0
la vega,cundinamarca,21,0.0,7,1
la victoria,valle del cauca,82,0.0,10,0
la virginia,risaralda,120,0.0,10,0
labateca,norte de santander,6,0.0,4,1
landázuri,santander,34,0.0,9,0
lebrija,santander,29,0.0,8,0
leiva,nariño,24,0.0,9,0
lejanías,meta,28,0.0,8,0
lenguazaque,cundinamarca,9,0.0,6,1
leticia,amazonas,139,0.0,10,0
liborina,antioquia,30,0.0,9,0
linares,nariño,11,0.0,6,1
lloró,chocó,29,0.0,9,0
lorica,córdoba,208,0.0,10,0
los andes,nariño,9,0.0,5,1
los córdobas,córdoba,24,0.0,9,0
los palmitos,sucre,18,0.0,10,0
los patios,norte de santander,127,0.0,10,0
los santos,santander,6,0.0,6,1
luruaco,atlántico,58,0.0,10,0
lérida,tolima,50,0.0,10,0
líbano,tolima,74,0.0,10,0
lópez de micay,cauca,21,0.0,7,1
maceo,antioquia,37,0.0,7,1
madrid,cundinamarca,109,0.0,10,0
magangué,bolívar,222,0.0,10,0
magüí,nariño,27,0.0,9,0
mahates,bolívar,37,0.0,9,0
maicao,la guajira,742,0.0,10,0
majagual,sucre,40,0.0,9,0
malambo,atlántico,411,0.0,10,0
mallama,nariño,37,0.0,8,0
manatí,atlántico,8,0.0,4,1
manaure,la guajira,34,0.0,10,0
manaure balcón del cesar,cesar,13,0.0,7,1
manizales,caldas,581,0.0,10,0
manzanares,caldas,29,0.0,7,1
maní,casanare,67,0.0,10,0
mapiripán,meta,71,0.0,10,0
margarita,bolívar,7,0.0,5,1
marinilla,antioquia,131,0.0,10,0
maripí,boyacá,6,0.0,4,1
marmato,caldas,40,0.0,10,0
marquetalia,caldas,19,0.0,8,0
marsella,risaralda,42,0.0,10,0
marulanda,caldas,9,0.0,7,1
maría la baja,bolívar,107,0.0,10,0
medellín,antioquia,4729,0.0,10,3
medina,cundinamarca,11,0.0,7,1
medio atrato,chocó,23,0.0,8,0
medio baudó,chocó,5,0.0,4,1
medio san juan,chocó,11,0.0,6,1
melgar,tolima,79,0.0,10,0
mercaderes,cauca,106,0.0,9,0
mesetas,meta,43,0.0,10,0
milán,caquetá,19,0.0,8,0
miraflores,guaviare,25,0.0,9,0
miranda,cauca,192,0.0,10,0
mistrató,risaralda,43,0.0,10,0
mitú,vaupés,18,0.0,7,1
mocoa,putumayo,98,0.0,10,0
mogotes,santander,14,0.0,6,1
momil,córdoba,30,0.0,9,0
mompós,bolívar,39,0.0,10,0
moniquirá,boyacá,12,0.0,5,1
montebello,antioquia,7,0.0,5,1
montecristo,bolívar,51,0.0,10,0
montelíbano,córdoba,326,0.0,10,0
montenegro,quindio,30,0.0,1,1
montenegro,quindío,225,0.0,9,0
monterrey,casanare,22,0.0,9,0
montería,córdoba,846,0.0,10,0
morales,bolívar,56,0.0,10,0
morales,cauca,102,0.0,10,0
morelia,caquetá,10,0.0,6,1
morichal,guainía,13,0.0,1,1
morroa,sucre,28,0.0,8,0
mosquera,cundinamarca,120,0.0,10,0
mosquera,nariño,15,0.0,5,1
moñitos,córdoba,23,0.0,8,0
murillo,tolima,12,0.0,7,1
murindó,antioquia,10,0.0,6,1
mutatá,antioquia,109,0.0,10,0
mutiscua,norte de santander,6,0.0,4,1
muzo,boyacá,6,0.0,4,1
málaga,santander,9,0.0,7,1
nariño,antioquia,24,0.0,10,0
nariño,nariño,11,0.0,5,1
natagaima,tolima,22,0.0,10,0
nechí,antioquia,54,0.0,9,0
necoclí,antioquia,55,0.0,10,0
neira,caldas,56,0.0,10,0
neiva,huila,799,0.0,10,0
nemocón,cundinamarca,15,0.0,9,0
nilo,cundinamarca,7,0.0,5,1
nocaima,cundinamarca,13,0.0,9,0
norcasia,caldas,13,0.0,5,1
norosí,bolívar,46,0.0,9,0
nueva granada,magdalena,34,0.0,8,0
nunchía,casanare,16,0.0,7,1
nuquí,chocó,7,0.0,4,1
nátaga,huila,10,0.0,5,1
nóvita,chocó,22,0.0,9,0
obando,valle del cauca,110,0.0,10,0
